LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 1.4
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.005
variable tau equal 100*${dt}
variable tau equal 100*0.005
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.005
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.4
Lattice spacing in x,y,z = 1.4189834 1.4189834 1.4189834
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  1 by 2 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  create_atoms CPU = 0.010 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.005
thermo ${thermo_time}
thermo 250

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.5
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.098 | 3.098 | 3.098 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     42000   3.0200963      3.7274427      0              8.2553751      71.845296    
     42250   2.9577813      3.6217595      0              8.0562651      70.770457    
     42500   3.0181858      3.6355277      0              8.1605958      70.9337      
     42750   2.9774961      3.6918523      0              8.1559157      71.262375    
     43000   2.996263       3.5861132      0              8.0783132      70.121629    
     43250   3.0726492      3.5631103      0              8.1698335      69.577546    
     43500   2.9263495      3.5936152      0              7.980996       69.916302    
     43750   3.0207715      3.7114196      0              8.2403643      71.414112    
     44000   3.0206132      3.564964       0              8.0936715      69.744495    
     44250   2.8418239      3.5665691      0              7.8272235      69.267873    
     44500   3.0459228      3.6190178      0              8.1856711      70.525422    
     44750   2.9425759      3.6775289      0              8.0892376      70.853978    
     45000   2.9254947      3.7244253      0              8.1105247      71.372828    
     45250   3.0593111      3.5664275      0              8.1531534      69.435195    
     45500   2.962296       3.5452001      0              7.9864744      69.590555    
     45750   3.0366231      3.7032275      0              8.255938       71.455856    
     46000   2.9796366      3.5830859      0              8.0503585      70.102409    
     46250   3.0224561      3.6207759      0              8.1522464      70.24143     
     46500   3.0253437      3.632898       0              8.1686978      70.630991    
     46750   3.0030343      3.5928555      0              8.0952075      70.656648    
     47000   3.0737161      3.7125748      0              8.3208977      71.588222    
     47250   2.9400424      3.6387676      0              8.0466778      70.298013    
     47500   3.092329       3.6650547      0              8.3012834      70.975864    
     47750   3.0025767      3.6661435      0              8.1678094      70.770329    
     48000   2.9554068      3.69647        0              8.1274156      71.399415    
     48250   3.0531343      3.7474442      0              8.3249095      71.842745    
     48500   3.0204423      3.5342497      0              8.0627009      69.327423    
     48750   3.1209623      3.6593048      0              8.3384623      71.45342     
     49000   2.9965924      3.7274645      0              8.2201583      71.603023    
     49250   2.9602409      3.627112       0              8.0653053      70.390705    
     49500   3.1151019      3.6492986      0              8.3196698      71.155452    
     49750   2.9806342      3.5512139      0              8.0199822      69.315704    
     50000   3.0479198      3.6802756      0              8.2499229      71.237448    
Loop time of 6.94218 on 4 procs for 50000 steps with 2048 atoms

